unix;low;high;open;close;volume;date
1446681600;320.0;411.78;373.0;350.0;287.80375358;2015-11-05 01:00:00;None
1446768000;328.48;367.0;357.3;351.83;140.80591386;2015-11-06 01:00:00;None
1446854400;347.55;364.46;347.55;360.43;70.05735248;2015-11-07 01:00:00;None
1446940800;343.01;361.47;359.46;346.47;56.82858619;2015-11-08 01:00:00;None
1447027200;340.0;356.02;346.47;351.62;82.58607326;2015-11-09 01:00:00;None
1447113600;303.2;354.88;352.03;314.72;145.38957888;2015-11-10 01:00:00;None
1447200000;280.0;316.49;314.72;287.81;180.52248241;2015-11-11 01:00:00;None
1447286400;288.65;313.35;288.65;311.92;877.82470202;2015-11-12 01:00:00;None
1447372800;304.51;315.23;312.01;312.34;85.04134255;2015-11-13 01:00:00;None
1447459200;306.93;313.95;313.66;310.93;95.67689174;2015-11-14 01:00:00;None
1447545600;300.0;311.86;311.12;303.51;372.37650526;2015-11-15 01:00:00;None
1447632000;297.01;312.43;301.51;310.03;85.20075042;2015-11-16 01:00:00;None
1447718400;308.75;315.98;309.98;315.5;78.39754749;2015-11-17 01:00:00;None
1447804800;310.34;315.99;312.27;315.4;8.00081878;2015-11-18 01:00:00;None
1447891200;303.0;314.14;314.14;303.0;43.47298872;2015-11-19 01:00:00;None
1447977600;292.5;303.46;303.03;301.24;48.05168364;2015-11-20 01:00:00;None
1448064000;300.89;308.4;300.89;305.89;131.67866306;2015-11-21 01:00:00;None
1448150400;302.02;306.44;305.98;303.23;25.69336349;2015-11-22 01:00:00;None
1448236800;303.21;306.2;304.5;303.83;37.1247965;2015-11-23 01:00:00;None
1448323200;300.9;304.14;303.8;300.91;41.47812107;2015-11-24 01:00:00;None
1448409600;298.55;312.0;300.91;309.8;492.83327639;2015-11-25 01:00:00;None
1448496000;309.91;346.54;309.98;333.5;265.21172851;2015-11-26 01:00:00;None
1448582400;327.21;343.37;334.21;339.2;68.34605123;2015-11-27 01:00:00;None
1448668800;331.76;336.85;335.0;336.08;10.46242073;2015-11-28 01:00:00;None
1448755200;335.28;353.59;335.96;349.87;91.24258176;2015-11-29 01:00:00;None
1448841600;348.45;360.0;354.0;355.16;29.49872426;2015-11-30 01:00:00;None
1448928000;335.08;358.8;355.58;341.0;43.94315859;2015-12-01 01:00:00;None
