DateTime,Aggregated Exchanges,Binance,Bitfinex,Bitstamp,Coinbase,Gemini,Huobi,Kraken,Luno,Okex,Poloniex,Price
2014-01-01T00:00:00.000Z,32.86158255,,,,2.98621766,,,,29.82332256,,0.05204233,800.45
2014-01-02T00:00:00.000Z,-14.63393002,,,,-0.15725242,,,,-13.83045856,,-0.64621904,848.34
2014-01-03T00:00:00.000Z,-1.01670012,,,,-5.72405531,,,,2.27537839,,2.4319768,863.84
2014-01-04T00:00:00.000Z,-6.42946067,,,,0.25095707,,,,-7.16128485,,0.48086711,890.24
2014-01-05T00:00:00.000Z,37.230984,,,,1.4392843,,,,35.68826022,,0.10343948,970.61
2014-01-06T00:00:00.000Z,2.3143856,,,,1.23236544,,,,0.94422009,,0.13780007,1029.09
2014-01-07T00:00:00.000Z,7.37577207,,,,2.76341755,,,,4.71108415,,-0.09872963,961.92
2014-01-08T00:00:00.000Z,-5.13445687,,,,2.09992091,,,,-8.14065469,,0.90627691,912.9
2014-01-09T00:00:00.000Z,-3.54093814,,,,-1.41321054,,,,-1.21347335,,-0.91425425,915.6
2014-01-10T00:00:00.000Z,8.02796158,,,,8.75440264,,,,-2.55354721,,1.82710615,935.36
2014-01-11T00:00:00.000Z,0.72854271,,,,-7.02182788,,,,7.68386681,,0.06650378,972.92
2014-01-12T00:00:00.000Z,17.17324725,,,,3.67152634,,,,14.26517496,,-0.76345405,972.37
2014-01-13T00:00:00.000Z,-14.98908512,,,,-2.19725751,,,,-13.10535961,,0.313532,914.59
2014-01-14T00:00:00.000Z,5.77712334,,,,4.12251621,,,,1.41564083,,0.2389663,923.33
2014-01-15T00:00:00.000Z,-11.19303777,,,,1.03581118,,,,-11.51879392,,-0.71005503,944.08
2014-01-16T00:00:00.000Z,8.64332856,,,,15.56573271,,,,-3.53569745,,-3.3867067,933.02
2014-01-17T00:00:00.000Z,-19.6949522,,,,-14.858929,,,,-5.32006077,,0.48403757,898.49
