Date;Risk
2017-09-25;62.528571428571
2017-10-02;61.571428571429
2017-10-09;64.257142857143
2017-10-16;66.2
2017-10-23;65.671428571429
2017-10-30;69.914285714286
2017-11-06;69.485714285714
2017-11-13;72.742857142857
2017-11-20;76.442857142857
2017-11-27;83.614285714286
2017-12-04;97.5
2017-12-11;99.8
2017-12-18;97.6
2017-12-25;96.4
2018-01-01;96.8
2018-01-08;91.4
2018-01-15;84.971428571429
2018-01-22;81.514285714286
2018-01-29;73.471428571429
2018-02-05;65.514285714286
2018-02-12;73.228571428571
2018-02-19;75.885714285714
2018-02-26;76.785714285714
2018-03-05;71.1
2018-03-12;63.7
2018-03-19;62.628571428571
2018-03-26;53.228571428571
2018-04-02;47.528571428571
2018-04-09;49.057142857143
2018-04-16;53.4
2018-04-23;55.3
2018-04-30;55.328571428571
2018-05-07;51.814285714286
2018-05-14;47.957142857143
2018-05-21;42.757142857143
2018-05-28;41.471428571429
2018-06-04;41.471428571429
2018-06-11;34.542857142857
2018-06-18;33.942857142857
2018-06-25;31.7
2018-07-02;34.542857142857
2018-07-09;32.342857142857
2018-07-16;39.2
2018-07-23;45.757142857143
2018-07-30;42
2018-08-06;34.214285714286
2018-08-13;33.128571428571
2018-08-20;34.871428571429
2018-08-27;38.157142857143
2018-09-03;35.528571428571
2018-09-10;32.485714285714
2018-09-17;33.157142857143
2018-09-24;33.528571428571
2018-10-01;33.228571428571
2018-10-08;32.514285714286
2018-10-15;33.342857142857
2018-10-22;33.071428571429
2018-10-29;32.528571428571
2018-11-05;32.957142857143
2018-11-12;29.442857142857
2018-11-19;14.542857142857
2018-11-26;9.6
2018-12-03;4.2
2018-12-10;2.4
2018-12-17;3.3
2018-12-24;5.7428571428571
2018-12-31;6.3714285714286
2019-01-07;4.5
2019-01-14;4.4
2019-01-21;4.3
2019-01-28;3.9
2019-02-04;4.2
2019-02-11;6.9
2019-02-18;10.828571428571
2019-02-25;10.242857142857
2019-03-04;11.971428571429
2019-03-11;13.5
2019-03-18;15.428571428571
2019-03-25;17.314285714286
2019-04-01;28.1
2019-04-08;31.585714285714
2019-04-15;34.042857142857
2019-04-22;36.4
2019-04-29;38.714285714286
2019-05-06;45.457142857143
2019-05-13;54.428571428571
2019-05-20;56.2
2019-05-27;57.785714285714
2019-06-03;55.628571428571
2019-06-10;56.657142857143
2019-06-17;60.757142857143
2019-06-24;67.4
2019-07-01;67.285714285714
2019-07-08;68.257142857143
2019-07-15;63.271428571429
2019-07-22;61.342857142857
2019-07-29;61.642857142857
2019-08-05;64.771428571429
2019-08-12;62.028571428571
2019-08-19;61.014285714286
2019-08-26;55.785714285714
2019-09-02;55.542857142857
2019-09-09;53.214285714286
2019-09-16;52.457142857143
2019-09-23;45.071428571429
2019-09-30;35.928571428571
2019-10-07;31.514285714286
2019-10-14;28.257142857143
2019-10-21;27.2
2019-10-28;32.371428571429
2019-11-04;31.014285714286
2019-11-11;25.485714285714
2019-11-18;18.457142857143
2019-11-25;15.114285714286
2019-12-02;15.057142857143
2019-12-09;14.1
2019-12-16;13.257142857143
2019-12-23;14.285714285714
2019-12-30;14.414285714286
2020-01-06;19.942857142857
2020-01-13;25.542857142857
2020-01-20;25.314285714286
2020-01-27;30.214285714286
2020-02-03;32.428571428571
2020-02-10;35.185714285714
2020-02-17;34.128571428571
2020-02-24;30.5
2020-03-02;28.714285714286
2020-03-09;3.5
2020-03-16;3.9
2020-03-23;11.085714285714
2020-03-30;12.7
2020-04-06;15.342857142857
2020-04-13;16.028571428571
2020-04-20;19.314285714286
2020-04-27;27.828571428571
2020-05-04;34.242857142857
2020-05-11;36.385714285714
2020-05-18;36.528571428571
2020-05-25;37.6
2020-06-01;38.742857142857
2020-06-08;36.714285714286
2020-06-15;35.985714285714
2020-06-22;34.857142857143
2020-06-29;32.585714285714
2020-07-06;31.185714285714
2020-07-13;29.985714285714
2020-07-20;31.6
